common_name;species;genus;family
TACHI PRETO;Tachigali spp ;Tachigali ;Fabaceae
BREU VERMELHO;Protium tenuifolium;Protium ;Burseraceae
PIMENTA DE NAMBU;Lacistema spp ;Lacistema ;Lacistemataceae
UXIRANA;Ouratea discophora;Ouratea ;Ochnaceae
CASCA DOCE;Pradosia verticillata;Pradosia ;Sapotaceae
BREU VERMELHO;Protium spp ;Protium ;Burseraceae
VASSOUREIRO;Drypetes variabilis;Drypetes ;Putranjivaceae
MATAMATA AMARELO;Eschweilera spp ;Eschweilera ;Lecythidaceae
LOURO PRETO;Ocotea nigrescens;Ocotea ;Lauraceae
MANDIOQUEIRA;Qualea paraensis;Qualea ;Vochysiaceae
MATAMATA AMARELO;Eschweilera bracteosa;Eschweilera ;Lecythidaceae
MACUCU CHIADOR;Licania sothersiae;Licania ;Chrysobalanaceae
ARACA BRAVO;Calyptranthes sp ;Calyptranthes ;Myrtaceae
CAFE BRAVO;Kutchubaea insignis;Kutchubaea ;Rubiaceae
ENVIRA PRETA;Annonaceae spp ;Annonaceae ;Annonaceae
ENVIRA BRANCA;Xylopia polyantha;Xylopia ;Annonaceae
FIGO BRAVO;Ferdinandusa elliptica;Ferdinandusa ;Rubiaceae
SERINGA VERMELHA;Hevea guianensis;Hevea ;Euphorbiaceae
MATAMATA AMARELO;Eschweilera pseudodecolorans;Eschweilera ;Lecythidaceae
CHICHUA;Maytenus guyanensis;Maytenus ;Celastraceae
PAU RAINHA;Brosimum rubescens;Brosimum ;Moraceae
ABIURANA ABIU;Pouteria venosa;Pouteria ;Sapotaceae
MUIRATINGA;Brosimum lactescens;Brosimum ;Moraceae
PUPUNHARANA;Duckeodendron cestroides;Duckeodendron ;Solanaceae
COPAIBA;Copaifera multijuga;Copaifera ;Fabaceae
MATAMATA AMARELO;Eschweilera wachenheimii;Eschweilera ;Lecythidaceae
ARACA BRAVO;Eugenia lambertiana;Eugenia ;Myrtaceae
EMBAUBARANA;Pourouma spp ;Pourouma ;Urticaceae
ABIURANA ROXA;Sapotaceae spp ;Sapotaceae ;Sapotaceae
CARDEIRO;Scleronema micranthum;Scleronema ;Malvaceae
BRANQUINHA;Rinorea racemosa;Rinorea ;Violaceae
UCUUBA BRANCA;Osteophloeum platyspermum;Osteophloeum ;Myristicaceae
ENVIRA PRETA;Annonaceae spp ;Annonaceae ;Annonaceae
MUCURAO;Amphirrhox longifolia;Amphirrhox ;Violaceae
CASTANHA JACARE;Corythophora rimosa;Corythophora ;Lecythidaceae
BRANQUINHA;Rinorea racemosa;Rinorea ;Violaceae
MACUCU FARINHA SECA;Licania rodriguesii;Licania ;Chrysobalanaceae
MATAMATA AMARELO;Eschweilera spp ;Eschweilera ;Lecythidaceae
ENVIRA FOFA;Guatteria citriodora;Guatteria ;Annonaceae
MUIRATINGA;Helicostylis sp ;Helicostylis ;Moraceae
ARABA ROXO;Swartzia reticulata;Swartzia ;Fabaceae
CASTANHA JACARE;Corythophora rimosa;Corythophora ;Lecythidaceae
BREU VERMELHO;Protium hebetatum;Protium ;Burseraceae
CASTANHA JARANA FM;Couratari stellata;Couratari ;Lecythidaceae
ENVIRA TARIPUCU;Pseudoxandra obscurinervis;Pseudoxandra ;Annonaceae
UCUUBA VERMELHA;Virola calophylla;Virola ;Myristicaceae
PITOMBA;Talisia sp ;Talisia ;Sapindaceae
AZEITONA DA MATA;Myrcia subsericea;Myrcia ;Myrtaceae
MUIRAUBA;Mouriri duckeana/duckeanoides;Mouriri ;Melastomataceae
BREU VERMELHO;Protium strumosum;Protium ;Burseraceae
BREU VERMELHO;Protium apiculatum;Protium ;Burseraceae
RIPEIRO VERMELHO;Eschweilera romeu-cardosoi;Eschweilera ;Lecythidaceae
INGA VERMELHA;Myrtaceae sp 5;Myrtaceae ;Myrtaceae
MATAMATA AMARELO;Eschweilera wachenheimii;Eschweilera ;Lecythidaceae
RIPEIRO VERMELHO;Eschweilera pseudodecolorans;Eschweilera ;Lecythidaceae
CARAIPE;Hirtella rodriguesii;Hirtella ;Chrysobalanaceae
ABIURANA ABIU;Pouteria guianensis;Pouteria ;Sapotaceae
LACRE;Vismia spp ;Vismia ;Hypericaceae
BUCHUCHU FARINHA SECA;Miconia spp ;Miconia ;Melastomataceae
TINTEIRO;Miconia minutiflora;Miconia ;Melastomataceae
BREU VERMELHO;Protium hebetatum;Protium ;Burseraceae
BREU VERMELHO;Protium altsonii;Protium ;Burseraceae
ENVIRA FOFA;Guatteria cf australis;Guatteria ;Annonaceae
TAQUARI;Mabea speciosa;Mabea ;Euphorbiaceae
TACHI PRETO;Tachigali spp ;Tachigali ;Fabaceae
CASTANHA VERMELHA;Eschweilera atropetiolata;Eschweilera ;Lecythidaceae
ROSADA BRAVA;Micropholis splendens;Micropholis ;Sapotaceae
BREU BRANCO;Protium pallidum;Protium ;Burseraceae
PIMENTA DE NAMBU;Vantanea parviflora;Vantanea ;Humiriaceae
MATAMATA AMARELO;Eschweilera coriacea;Eschweilera ;Lecythidaceae
FAVEIRA RAPE;Enterolobium sp ;Enterolobium ;Fabaceae
CASTANHA JACARE;Corythophora rimosa;Corythophora ;Lecythidaceae
UCUUBA BRANCA;Osteophloeum platyspermum;Osteophloeum ;Myristicaceae
CUPIUBA;Goupia glabra;Goupia ;Goupiaceae
PERIQUITEIRA AMARELA;Laetia procera;Laetia ;Salicaceae
MATAMATA AMARELO;Eschweilera coriacea;Eschweilera ;Lecythidaceae
MATAMATA AMARELO;Eschweilera wachenheimii;Eschweilera ;Lecythidaceae
ENVIRA PRETA;Fusaea longifolia;Fusaea ;Annonaceae
ABIURANA CASCA FINA;Pouteria spp ;Pouteria ;Sapotaceae
EMBAUBA GIGANTE;Pourouma bicolor;Pourouma ;Urticaceae
MACUCU CHIADOR;Licania spp ;Licania ;Chrysobalanaceae
ABIURANA DOURADINHA;Pouteria spp ;Pouteria ;Sapotaceae
ABIURANA CASCA FINA;Pouteria spp ;Pouteria ;Sapotaceae
ABIURANA BATINGA;Pouteria eugeniifolia;Pouteria ;Sapotaceae
TACHI VERMELHO;Tachigali cf paraensis;Tachigali ;Fabaceae
CASTANHA JARANA FM;Lecythis cf chartacea;Lecythis ;Lecythidaceae
TAUARI;Couratari stellata;Couratari ;Lecythidaceae
URUCURANA;Sloanea floribunda;Sloanea ;Elaeocarpaceae
BREU BRANCO;Trattinnickia glaziovii;Trattinnickia ;Burseraceae
ARACA BRAVO;Myrtaceae sp 2;Myrtaceae ;Myrtaceae
INGA VERMELHA;Lacistema aggregatum/polystachyum;Lacistema ;Lacistemataceae
INGA VERMELHA;Inga spp ;Inga ;Fabaceae
PIMENTA DE NAMBU;Lacistema aggregatum/polystachyum;Lacistema ;Lacistemataceae
PAJURAZINHO;Parinari parvifolia;Parinari ;Chrysobalanaceae
PIABINHA;Diospyros sp ;Diospyros ;Ebenaceae
FREIJO;Cordia cf trachyphylla;Cordia ;Boraginaceae
LOURO FOFO;Licaria martiniana;Licaria ;Lauraceae
BREU VERMELHO;Protium altsonii;Protium ;Burseraceae
SERINGA VERMELHA;Hevea guianensis;Hevea ;Euphorbiaceae
BREU BRANCO;Protium nitidifolium;Protium ;Burseraceae
TAQUARI;Mabea speciosa;Mabea ;Euphorbiaceae
MARUPA ROXO;Simaba polyphylla;Simaba ;Simaroubaceae
ARABA ROXO;Swartzia reticulata;Swartzia ;Fabaceae
ARACA BRAVO;Myrcia paivae;Myrcia ;Myrtaceae
MATAMATA AMARELO;Eschweilera wachenheimii;Eschweilera ;Lecythidaceae
BREU VERMELHO;Protium decandrum;Protium ;Burseraceae
ARACA BRAVO;Myrtaceae spp ;Myrtaceae ;Myrtaceae
CAROBA;Jacaranda copaia;Jacaranda ;Bignoniaceae
UCUUBA PUNA;Iryanthera spp ;Iryanthera ;Myristicaceae
SUPIA;Alchorneopsis floribunda;Alchorneopsis ;Euphorbiaceae
TAQUARI;Mabea speciosa;Mabea ;Euphorbiaceae
BRANQUINHA;Rinorea racemosa;Rinorea ;Violaceae
BREU MANGA;Dacryodes cuspidata;Dacryodes ;Burseraceae
ENVIRA PRETA;Ephedranthus amazonicus;Ephedranthus ;Annonaceae
LOURO PIRARUCU;Licaria crassifolia;Licaria ;Lauraceae
CASTANHA JACARE;Corythophora rimosa;Corythophora ;Lecythidaceae
BREU BRANCO;Protium spp ;Protium ;Burseraceae
BREU PITOMBA;Protium spp ;Protium ;Burseraceae
MANDIOQUEIRA;Ruizterania cassiquiarensis;Ruizterania ;Vochysiaceae
ACARIQUARA ROXA;Minquartia guianensis;Minquartia ;Olacaceae
ANGELIM PEDRA;Dinizia excelsa;Dinizia ;Fabaceae
PAU RAINHA;Brosimum rubescens;Brosimum ;Moraceae
RIPEIRO VERMELHO;Corythophora alta;Corythophora ;Lecythidaceae
INGA COPAIBA;Inga gracilifolia;Inga ;Fabaceae
CHICLETE BRAVO;Micropholis egensis;Micropholis ;Sapotaceae
CASTANHA JARANA FG;Lecythis prancei;Lecythis ;Lecythidaceae
ANGELIM RAJADO;Zygia racemosa;Zygia ;Fabaceae
BREU VERMELHO;Protium hebetatum;Protium ;Burseraceae
INGA BRANCA;Inga paraensis;Inga ;Fabaceae
ABIURANA ROXA;Micropholis casiquiarensis;Micropholis ;Sapotaceae
LOURO FOFO;Ocotea nigrescens;Ocotea ;Lauraceae
RIPEIRO VERMELHO;Corythophora alta;Corythophora ;Lecythidaceae
CAFE BRAVO;Palicourea sp ;Palicourea ;Rubiaceae
FAVEIRA ARARA TUCUPI;Stryphnodendron guianense;Stryphnodendron ;Fabaceae
MATAMATA AMARELO;Eschweilera coriacea;Eschweilera ;Lecythidaceae
TAUARI;Couratari guianensis;Couratari ;Lecythidaceae
RIPEIRO VERMELHO;Eschweilera romeu-cardosoi;Eschweilera ;Lecythidaceae
LOURO BOSTA;Ocotea floribunda;Ocotea ;Lauraceae
TAQUARI;Mabea spp ;Mabea ;Euphorbiaceae
TINTEIRO;Miconia minutiflora;Miconia ;Melastomataceae
FAVEIRA ARARA TUCUPI;Stryphnodendron pulcherrimum;Stryphnodendron ;Fabaceae
URUCURANA CACAU;Lueheopsis rosea;Lueheopsis ;Malvaceae
MURTA DA MATA;Calyptranthes cuspidata;Calyptranthes ;Myrtaceae
BREU VERMELHO;Protium pallidum;Protium ;Burseraceae
CARDEIRO;Scleronema micranthum;Scleronema ;Malvaceae
TAQUARI;Mabea speciosa;Mabea ;Euphorbiaceae
MUIRAXIMBE;Amaioua corymbosa;Amaioua ;Rubiaceae
EMBAUBARANA;Pourouma spp ;Pourouma ;Urticaceae
PIMENTA DE NAMBU;Lacistema spp ;Lacistema ;Lacistemataceae
ABIURANA FEDORENTA;Pouteria retinervis;Pouteria ;Sapotaceae
EMBAUBARANA;Pourouma spp ;Pourouma ;Urticaceae
MATAMATA AMARELO;Eschweilera wachenheimii;Eschweilera ;Lecythidaceae
MATAMATA AMARELO;Eschweilera wachenheimii;Eschweilera ;Lecythidaceae
MACUCU FARINHA SECA;Licania rodriguesii;Licania ;Chrysobalanaceae
CHICLETE BRAVO;Micropholis guyanensis;Micropholis ;Sapotaceae
BREU VERMELHO;Protium altsonii;Protium ;Burseraceae
BREU VERMELHO;Protium spp ;Protium ;Burseraceae
MATAMATA AMARELO;Eschweilera coriacea;Eschweilera ;Lecythidaceae
ENVIRA SURUCUCU;Bocageopsis multiflora;Bocageopsis ;Annonaceae
ENVIRA AMARGOSA;Annonaceae spp ;Annonaceae ;Annonaceae
BREU VERMELHO;Protium strumosum;Protium ;Burseraceae
TAPURA;Swartzia corrugata;Swartzia ;Fabaceae
MATAMATA AMARELO;Eschweilera coriacea;Eschweilera ;Lecythidaceae
JARAI;Pouteria cf ambelaniifolia;Pouteria ;Sapotaceae
UCUUBA BRANCA;Osteophloeum platyspermum;Osteophloeum ;Myristicaceae
MANDIOQUEIRA;Qualea paraensis;Qualea ;Vochysiaceae
TAQUARI;Mabea spp ;Mabea ;Euphorbiaceae
SERINGARANA;Rhodothyrsus macrophyllus;Rhodothyrsus ;Euphorbiaceae
ARACA BRAVO;Myrtaceae spp ;Myrtaceae ;Myrtaceae
BREU PITOMBA;Protium gallosum;Protium ;Burseraceae
INGA PELUDA;Inga umbratica;Inga ;Fabaceae
SERINGARANA;Rhodothyrsus macrophyllus;Rhodothyrsus ;Euphorbiaceae
AZEITONA DA MATA;Myrcia subsericea;Myrcia ;Myrtaceae
PIQUIA MARFIM;Aspidosperma marcgravianum;Aspidosperma ;Apocynaceae
CAPITIU;Siparuna decipiens;Siparuna ;Siparunaceae
BREU VERMELHO;Protium spruceanum;Protium ;Burseraceae
SAPATEIRO;Byrsonima rodriguesii;Byrsonima ;Malpighiaceae
INGA BRANCA;Inga paraensis;Inga ;Fabaceae
CASTANHA JARANA FG;Lecythis poiteaui;Lecythis ;Lecythidaceae
ABIURANA BATINGA;Micropholis splendens;Micropholis ;Sapotaceae
URUCURANA RASTEIRA;Sloanea aff grandis;Sloanea ;Elaeocarpaceae
LOURO INHAMUI;Ocotea aciphylla;Ocotea ;Lauraceae
ANGELIM RAJADO;Zygia racemosa;Zygia ;Fabaceae
BREU;Aiouea cf grandifolia;Aiouea ;Lauraceae
LOURO FERRO;Licaria sp 1;Licaria ;Lauraceae
ARACA BRAVO;Eugenia lambertiana;Eugenia ;Myrtaceae
ABIURANA BATINGA;Pouteria venosa;Pouteria ;Sapotaceae
UCUUBA PRETA;Virola spp ;Virola ;Myristicaceae
TACHI VERMELHO;Tachigali cf paraensis;Tachigali ;Fabaceae
RIPEIRO VERMELHO;Eschweilera romeu-cardosoi;Eschweilera ;Lecythidaceae
EMBAUBARANA;Pourouma velutina;Pourouma ;Urticaceae
PIMENTA DE NAMBU;Lacistema aggregatum/polystachyum;Lacistema ;Lacistemataceae
MATAMATA AMARELO;Eschweilera coriacea;Eschweilera ;Lecythidaceae
MUIRAJIBOIA JERIMUM;Swartzia tomentifera;Swartzia ;Fabaceae
ITAUBA FM;Mezilaurus itauba;Mezilaurus ;Lauraceae
LOURO FOFO;Ocotea percurrens;Ocotea ;Lauraceae
ENVIRA AMARGOSA;Duguetia surinamensis;Duguetia ;Annonaceae
CARAPANAUBA;Aspidosperma carapanauba;Aspidosperma ;Apocynaceae
ENVIRA PRETA;Fusaea longifolia;Fusaea ;Annonaceae
MURTA DA MATA;Myrtaceae spp ;Myrtaceae ;Myrtaceae
SERINGARANA;Dodecastigma amazonicum;Dodecastigma ;Euphorbiaceae
PAU TANINO;Maquira calophylla;Maquira ;Moraceae
MATAMATA AMARELO;Eschweilera coriacea;Eschweilera ;Lecythidaceae
MATAMATA AMARELO;Eschweilera wachenheimii;Eschweilera ;Lecythidaceae
PRECIOSA;Aniba canelilla;Aniba ;Lauraceae
CAFE BRAVO;Kutchubaea insignis;Kutchubaea ;Rubiaceae
ABIURANA ABIU;Pouteria fimbriata;Pouteria ;Sapotaceae
MAMAOZINHO;Mouriri collocarpa;Mouriri ;Melastomataceae
CAPITIU FM;Quiina amazonica;Quiina ;Quiinaceae
MATAMATA AMARELO;Eschweilera wachenheimii;Eschweilera ;Lecythidaceae
CACAURANA;Theobroma sylvestre;Theobroma ;Malvaceae
URUCURANA;Sloanea latifolia;Sloanea ;Elaeocarpaceae
CASTANHA VERMELHA;Eschweilera atropetiolata;Eschweilera ;Lecythidaceae
BUCHUCHU CANELA DE VELHO;Miconia hypoleuca;Miconia ;Melastomataceae
MURTA DA MATA;Myrtaceae spp ;Myrtaceae ;Myrtaceae
MATAMATA AMARELO;Eschweilera wachenheimii;Eschweilera ;Lecythidaceae
RIPEIRO VERMELHO;Eschweilera pseudodecolorans;Eschweilera ;Lecythidaceae
TAUARI;Couratari multiflora;Couratari ;Lecythidaceae
CASTANHA FEDORENTA;Lecythis poiteaui;Lecythis ;Lecythidaceae
JARAI;Pouteria spp ;Pouteria ;Sapotaceae
PURUI;Rubiaceae spp ;Rubiaceae ;Rubiaceae
MUIRAXIMBE;Morinda sp ;Morinda ;Rubiaceae
CARAIPE;Licania blackii;Licania ;Chrysobalanaceae
MUCURAO;Amphirrhox longifolia;Amphirrhox ;Violaceae
ABIURANA CASCA FINA;Pouteria filipes;Pouteria ;Sapotaceae
UCUUBA VERMELHA;Virola calophylla;Virola ;Myristicaceae
CASTANHA JARANA FM;Lecythis aff poiteaui;Lecythis ;Lecythidaceae
MUIRAJIBOIA PRETA;Bocoa viridiflora;Bocoa ;Fabaceae
URUCURANA;Sloanea floribunda;Sloanea ;Elaeocarpaceae
SERINGARANA;Dodecastigma amazonicum;Dodecastigma ;Euphorbiaceae
BREU VERMELHO;Protium hebetatum;Protium ;Burseraceae
ARACA BRAVO;Calyptranthes sp ;Calyptranthes ;Myrtaceae
MATAMATA AMARELO;Eschweilera bracteosa;Eschweilera ;Lecythidaceae
BREU VERMELHO;Protium spp ;Protium ;Burseraceae
UXIRANA;Humiriastrum cf excelsum;Humiriastrum ;Humiriaceae
BRANQUINHA;Rinorea racemosa;Rinorea ;Violaceae
UXIRANA;Sacoglottis mattogrossensis;Sacoglottis ;Humiriaceae
ANGELIM RAJADO;Zygia racemosa;Zygia ;Fabaceae
PAU RAINHA;Brosimum rubescens;Brosimum ;Moraceae
CASTANHA JARANA FG;Lecythis aff poiteaui;Lecythis ;Lecythidaceae
BREU VERMELHO;Tetragastris panamensis;Tetragastris ;Burseraceae
LOURO ARITU;Aniba panurensis sensu lato;Aniba ;Lauraceae
ABIURANA CUTITE FL;Pouteria retinervis;Pouteria ;Sapotaceae
ABIURANA CASCA FINA;Pouteria fimbriata;Pouteria ;Sapotaceae
RIPEIRO BRANCO;Eschweilera romeu-cardosoi;Eschweilera ;Lecythidaceae
TAQUARI;Mabea spp ;Mabea ;Euphorbiaceae
UCUUBA VERMELHA;Eugenia agathopoda;Eugenia ;Myrtaceae
GITO;Guarea convergens;Guarea ;Meliaceae
CARAPANAUBA;Aspidosperma carapanauba;Aspidosperma ;Apocynaceae
BREU VERMELHO;Protium spp ;Protium ;Burseraceae
BREU VERMELHO;Protium spp ;Protium ;Burseraceae
ITAUBA FM;Mezilaurus itauba;Mezilaurus ;Lauraceae
MATAMATA AMARELO;Eschweilera wachenheimii;Eschweilera ;Lecythidaceae
ENVIRA AMARGOSA;Duguetia surinamensis;Duguetia ;Annonaceae
PITOMBA DA MATA;Toulicia guianensis;Toulicia ;Sapindaceae
EMBAUBARANA;Pourouma spp ;Pourouma ;Urticaceae
ARABA ROXO;Swartzia reticulata;Swartzia ;Fabaceae
MATAMATA AMARELO;Eschweilera wachenheimii;Eschweilera ;Lecythidaceae
ITAUBA FM;Mezilaurus itauba;Mezilaurus ;Lauraceae
ABIURANA BACURI;Ecclinusa guianensis;Ecclinusa ;Sapotaceae
ABIURANA CUTITE;Pouteria spp ;Pouteria ;Sapotaceae
GENERAL;Gustavia elliptica;Gustavia ;Lecythidaceae
ACARIQUARA BRANCA;Geissospermum argenteum;Geissospermum ;Apocynaceae
ABIURANA ABIU;Pouteria filipes;Pouteria ;Sapotaceae
ARARACANGA;Ptychopetalum olacoides;Ptychopetalum ;Olacaceae
FAVEIRA FOLHA MIUDA;Parkia decussata;Parkia ;Fabaceae
TAQUARI;Mabea speciosa;Mabea ;Euphorbiaceae
BALATA BRAVA;Pouteria spp ;Pouteria ;Sapotaceae
CARAIPERANA;Licania sandwithii;Licania ;Chrysobalanaceae
ABIURANA ABIU;Pouteria caimito;Pouteria ;Sapotaceae
GENERAL;Eschweilera wachenheimii;Eschweilera ;Lecythidaceae
MACUCU FOFO;Vantanea parviflora;Vantanea ;Humiriaceae
GITO MIRIM;Trichilia micrantha;Trichilia ;Meliaceae
ABIURANA ROXA;Sapotaceae spp ;Sapotaceae ;Sapotaceae
LOURO PRETO;Annonaceae sp ;Annonaceae ;Annonaceae
FAVA PARQUIA;Parkia multijuga;Parkia ;Fabaceae
TAUARI;Couratari stellata;Couratari ;Lecythidaceae
CUIARANA;Parinari montana;Parinari ;Chrysobalanaceae
ARACA BRAVO;Myrtaceae sp 2;Myrtaceae ;Myrtaceae
LOURO ABACATE;Lauraceae spp ;Lauraceae ;Lauraceae
RIPEIRO VERMELHO;Eschweilera pseudodecolorans;Eschweilera ;Lecythidaceae
CASTANHA DE COTIA;Aptandra tubicina;Aptandra ;Olacaceae
GENERAL;Gustavia elliptica;Gustavia ;Lecythidaceae
CAPITIU;Siparuna decipiens;Siparuna ;Siparunaceae
AMARELINHO;Pogonophora schomburgkiana;Pogonophora ;Peraceae
CAPITIU;Siparuna decipiens;Siparuna ;Siparunaceae
BREU VERMELHO;Protium altsonii;Protium ;Burseraceae
BUCHUCHU VERMELHO;Miconia spp ;Miconia ;Melastomataceae
MUIRAXIMBE;Duroia kotchubaeoides;Duroia ;Rubiaceae
LOURO DE TUCANO;Lauraceae spp ;Lauraceae ;Lauraceae
CAFERANA;Kutchubaea insignis;Kutchubaea ;Rubiaceae
AZEITONA DA MATA;Myrcia subsericea;Myrcia ;Myrtaceae
CAPITIU;Siparuna decipiens;Siparuna ;Siparunaceae
LOURO PIRARUCU;Endlicheria sericea;Endlicheria ;Lauraceae
EMBAUBARANA;Pourouma spp ;Pourouma ;Urticaceae
