_id;common_name;family;genus;species
4;breu;lauraceae;aiouea;aiouea cf grandifolia
5;louro branco;lauraceae;aiouea;aiouea cf grandifolia
6;louro preto;lauraceae;aiouea;aiouea cf lehmannii
9;muiraximbe;rubiaceae;amaioua;amaioua aff guianensis
13;louro aritu;lauraceae;aniba;aniba panurensis sensu lato
14;louro falso aritu;lauraceae;aniba;aniba panurensis sensu lato
15;louro fofo;lauraceae;aniba;aniba panurensis sensu lato
16;louro rosa;lauraceae;aniba;aniba panurensis sensu lato
20;louro preto;annonaceae;annonaceae;annonaceae sp
21;envira amargosa;annonaceae;annonaceae;annonaceae spp
22;envira preta;annonaceae;annonaceae;annonaceae spp
25;tanimbuca;combretaceae;buchenavia;buchenavia sp 1
26;tanimbuca;combretaceae;buchenavia;buchenavia spp
28;breu manga;burseraceae;burseraceae;burseraceae spp
29;murici;malpighiaceae;byrsonima;byrsonima cf stipulacea
34;araca bravo;myrtaceae;calyptranthes;calyptranthes sp
35;piabinha;salicaceae;casearia;casearia spp
38;macucu fofo;chrysobalanaceae;chrysobalanaceae;chrysobalanaceae spp
39;abiurana fedorenta;sapotaceae;chrysophyllum;chrysophyllum cf gonocarpum
41;ucuquirana brava;sapotaceae;chrysophyllum;chrysophyllum ucuquirana branca
42;bacuri;clusiaceae;clusiaceae;clusiaceae spp
45;freijo;boraginaceae;cordia;cordia cf trachyphylla
46;freijo branco;boraginaceae;cordia;cordia spp
67;faveira folha fina;fabaceae;enterolobium;enterolobium sp
68;faveira rape;fabaceae;enterolobium;enterolobium sp
73;castanha vermelha;lecythidaceae;eschweilera;eschweilera cf micrantha
84;araba roxo;lecythidaceae;eschweilera;eschweilera romeu cardosoi
85;matamata amarelo;lecythidaceae;eschweilera;eschweilera romeu cardosoi
86;ribeiro branco;lecythidaceae;eschweilera;eschweilera romeu cardosoi
87;ripeiro;lecythidaceae;eschweilera;eschweilera romeu cardosoi
88;ripeiro branco;lecythidaceae;eschweilera;eschweilera romeu cardosoi
89;ripeiro vermelho;lecythidaceae;eschweilera;eschweilera romeu cardosoi
90;tauari;lecythidaceae;eschweilera;eschweilera romeu cardosoi
91;tauari branco;lecythidaceae;eschweilera;eschweilera romeu cardosoi
92;mata mata amarelo;lecythidaceae;eschweilera;eschweilera sp
93;matamata amarelo;lecythidaceae;eschweilera;eschweilera sp
94;tauari;lecythidaceae;eschweilera;eschweilera sp
95;matamata amarelo;lecythidaceae;eschweilera;eschweilera spp
96;ripeiro;lecythidaceae;eschweilera;eschweilera spp
97;ripeiro branco;lecythidaceae;eschweilera;eschweilera spp
98;ripeiro vermelho;lecythidaceae;eschweilera;eschweilera spp
104;araca bravo;myrtaceae;eugenia;eugenia cf florida
106;seringarana;euphorbiaceae;euphorbiaceae;euphorbiaceae spp
107;faveira amarela;fabaceae;fabaceae;fabaceae spp
108;faveira vermelha;fabaceae;fabaceae;fabaceae spp
109;ingarana;fabaceae;fabaceae;fabaceae spp
110;taboquinha;rubiaceae;faramea;faramea cf corymbosa
114;gito;meliaceae;guarea;guarea carinata/trunciflora
118;envira fofa;annonaceae;guatteria;guatteria cf australis
122;envira fofa;annonaceae;guatteria;guatteria spp
124;pau darco;bignoniaceae;handroanthus;handroanthus spp
127;muiratinga;moraceae;helicostylis;helicostylis sp
135;macucu murici;humiriaceae;humiriaceae;humiriaceae spp
136;uxirana;humiriaceae;humiriaceae;humiriaceae spp
137;uxirana;humiriaceae;humiriastrum;humiriastrum cf excelsum
138;orelha burro;icacinaceae;#valor!;indeterminado
139;cutite bravo;indeterminado;#valor!;indeterminado
140;envireira;indeterminado;#valor!;indeterminado
141;gogo guariba;indeterminado;#valor!;indeterminado
142;quaruba branca;indeterminado;#valor!;indeterminado
143;inga branca;fabaceae;inga;inga cf leiocalycina
147;inga branca;fabaceae;inga;inga sp
148;inga vermelha;fabaceae;inga;inga sp
149;inga branca;fabaceae;inga;inga spp
150;inga vermelha;fabaceae;inga;inga spp
