_id;common_name;family;genus;species;suggestion
"cordia sp 1;boraginaceae;cordia;freijo branco";freijo branco;boraginaceae;cordia;cordia sp 1;
"cordia sp 2;boraginaceae;cordia;envira fofa";envira fofa;boraginaceae;cordia;cordia sp 2;
"cordia spp;boraginaceae;cordia;freijo branco";freijo branco;boraginaceae;cordia;cordia spp;
"couepia canomensis;chrysobalanaceae;couepia;castanha cotia";castanha cotia;chrysobalanaceae;couepia;couepia canomensis;couepia guianensis
"couepia canomensis;chrysobalanaceae;couepia;macucu fofo";macucu fofo;chrysobalanaceae;couepia;couepia canomensis;couepia guianensis
"dacryodes cuspidata;burseraceae;dacryodes;breu manga";breu manga;burseraceae;dacryodes;dacryodes cuspidata;dacryodes costata
"dacryodes cuspidata;burseraceae;dacryodes;breu vermelho";breu vermelho;burseraceae;dacryodes;dacryodes cuspidata;dacryodes costata
"dacryodes cuspidata;burseraceae;dacryodes;louro fofo";louro fofo;burseraceae;dacryodes;dacryodes cuspidata;dacryodes costata
"dacryodes cuspidata;burseraceae;dacryodes;pitomba mata";pitomba mata;burseraceae;dacryodes;dacryodes cuspidata;dacryodes costata
"dacryodes cuspidata;burseraceae;dacryodes;seringarana";seringarana;burseraceae;dacryodes;dacryodes cuspidata;dacryodes costata
"dicypellium manausense;lauraceae;dicypellium;louro preto";louro preto;lauraceae;dicypellium;dicypellium manausense;dialium guianense
"diplotropis rodriguesii;fabaceae;diplotropis;pau marfim";pau marfim;fabaceae;diplotropis;diplotropis rodriguesii;diplotropis martiusii
"dodecastigma amazonicum;euphorbiaceae;dodecastigma;seringarana";seringarana;euphorbiaceae;dodecastigma;dodecastigma amazonicum;protium amazonicum
"duguetia spp;annonaceae;duguetia;envira amarela";envira amarela;annonaceae;duguetia;duguetia spp;duguetia spixiana
"duroia macrophylla;rubiaceae;duroia;abiurana fedorenta";abiurana fedorenta;rubiaceae;duroia;duroia macrophylla;euodia macrophylla
"duroia macrophylla;rubiaceae;duroia;canela velho";canela velho;rubiaceae;duroia;duroia macrophylla;euodia macrophylla
"duroia macrophylla;rubiaceae;duroia;purui grande";purui grande;rubiaceae;duroia;duroia macrophylla;euodia macrophylla
"dystovomita brasiliensis;clusiaceae;dystovomita;sapateiro";sapateiro;clusiaceae;dystovomita;dystovomita brasiliensis;gustavia brasiliensis
"elizabetha coccinea;fabaceae;elizabetha;faveira vermelha";faveira vermelha;fabaceae;elizabetha;elizabetha coccinea;isertia coccinea
"elizabetha coccinea;fabaceae;elizabetha;ingarana";ingarana;fabaceae;elizabetha;elizabetha coccinea;isertia coccinea
"elizabetha durissima;fabaceae;elizabetha;faveira vermelha";faveira vermelha;fabaceae;elizabetha;elizabetha durissima;letestua durissima
"elizabetha speciosa;fabaceae;elizabetha;fava vermelha";fava vermelha;fabaceae;elizabetha;elizabetha speciosa;ceiba speciosa
"enterolobium barnebianum;fabaceae;enterolobium;faveira folha fina";faveira folha fina;fabaceae;enterolobium;enterolobium barnebianum;enterolobium maximum
"erisma bicolor;vochysiaceae;erisma;maueira";maueira;vochysiaceae;erisma;erisma bicolor;pera bicolor
"eschweilera bracteosa;lecythidaceae;eschweilera;ripeiro branco";ripeiro branco;lecythidaceae;eschweilera;eschweilera bracteosa;eschweilera fracta
"eschweilera bracteosa;lecythidaceae;eschweilera;ripeiro preto";ripeiro preto;lecythidaceae;eschweilera;eschweilera bracteosa;eschweilera fracta
"eschweilera cyathiformis;lecythidaceae;eschweilera;ripeiro preto";ripeiro preto;lecythidaceae;eschweilera;eschweilera cyathiformis;eschweilera albiflora
"eschweilera cyathiformis;lecythidaceae;eschweilera;ripeiro vermelho";ripeiro vermelho;lecythidaceae;eschweilera;eschweilera cyathiformis;eschweilera albiflora
"eschweilera pseudodecolorans;lecythidaceae;eschweilera;ripeiro branco";ripeiro branco;lecythidaceae;eschweilera;eschweilera pseudodecolorans;eschweilera odora
"eschweilera pseudodecolorans;lecythidaceae;eschweilera;ripeiro preto";ripeiro preto;lecythidaceae;eschweilera;eschweilera pseudodecolorans;eschweilera odora
"eschweilera pseudodecolorans;lecythidaceae;eschweilera;ripeiro vermelho";ripeiro vermelho;lecythidaceae;eschweilera;eschweilera pseudodecolorans;eschweilera odora
"eschweilera romeu cardosoi;lecythidaceae;eschweilera;ripeiro";ripeiro;lecythidaceae;eschweilera;eschweilera romeu cardosoi;eschweilera odora
"eschweilera romeu cardosoi;lecythidaceae;eschweilera;ripeiro branco";ripeiro branco;lecythidaceae;eschweilera;eschweilera romeu cardosoi;eschweilera odora
"eschweilera romeu cardosoi;lecythidaceae;eschweilera;ripeiro vermelho";ripeiro vermelho;lecythidaceae;eschweilera;eschweilera romeu cardosoi;eschweilera odora
"eschweilera spp;lecythidaceae;eschweilera;matamata amarelo";matamata amarelo;lecythidaceae;eschweilera;eschweilera spp;eschweilera alata
"eschweilera spp;lecythidaceae;eschweilera;matamata preto";matamata preto;lecythidaceae;eschweilera;eschweilera spp;eschweilera alata
"eschweilera spp;lecythidaceae;eschweilera;murici mata";murici mata;lecythidaceae;eschweilera;eschweilera spp;eschweilera alata
"eschweilera spp;lecythidaceae;eschweilera;ripeiro branco";ripeiro branco;lecythidaceae;eschweilera;eschweilera spp;eschweilera alata
"eschweilera spp;lecythidaceae;eschweilera;ripeiro vermelho";ripeiro vermelho;lecythidaceae;eschweilera;eschweilera spp;eschweilera alata
"eschweilera truncata;lecythidaceae;eschweilera;mata mata amarelo";mata mata amarelo;lecythidaceae;eschweilera;eschweilera truncata;eschweilera carinata
"eschweilera truncata;lecythidaceae;eschweilera;matamata amarelo";matamata amarelo;lecythidaceae;eschweilera;eschweilera truncata;eschweilera carinata
"eugenia cf illepida;myrtaceae;eugenia;araca bravo";araca bravo;myrtaceae;eugenia;eugenia cf illepida;eugenia illepida
"eugenia lambertiana;myrtaceae;eugenia;araca bravo";araca bravo;myrtaceae;eugenia;eugenia lambertiana;eugenia cerina
"eugenia lambertiana;myrtaceae;eugenia;murta mata";murta mata;myrtaceae;eugenia;eugenia lambertiana;eugenia cerina
"eugenia sp;myrtaceae;eugenia;araca bravo";araca bravo;myrtaceae;eugenia;eugenia sp;
"eugenia stictopetala;myrtaceae;eugenia;araca bravo";araca bravo;myrtaceae;eugenia;eugenia stictopetala;euodia trichopetala
"euphorbiaceae spp;euphorbiaceae;euphorbiaceae;seringarana";seringarana;euphorbiaceae;euphorbiaceae;euphorbiaceae spp;
"euphorbiaceae spp;euphorbiaceae;euphorbiaceae;urucurana cacau";urucurana cacau;euphorbiaceae;euphorbiaceae;euphorbiaceae spp;
"fabaceae sp 1;fabaceae;fabaceae;tanimbuca";tanimbuca;fabaceae;fabaceae;fabaceae sp 1;
"fabaceae spp;fabaceae;fabaceae;faveira";faveira;fabaceae;fabaceae;fabaceae spp;
"fabaceae spp;fabaceae;fabaceae;faveira rape";faveira rape;fabaceae;fabaceae;fabaceae spp;
"fabaceae spp;fabaceae;fabaceae;faveira vermelha";faveira vermelha;fabaceae;fabaceae;fabaceae spp;
"fabaceae spp;fabaceae;fabaceae;ingarana";ingarana;fabaceae;fabaceae;fabaceae spp;
"ficus duckeana;moraceae;ficus;mata pau";mata pau;moraceae;ficus;ficus duckeana;ficus drupacea
"garcinia ovalifolia;clusiaceae;garcinia;anani";anani;clusiaceae;garcinia;garcinia ovalifolia;garcinia longifolia
"garcinia ovalifolia;clusiaceae;garcinia;bacuri";bacuri;clusiaceae;garcinia;garcinia ovalifolia;garcinia longifolia
"geissospermum argenteum;apocynaceae;geissospermum;acariquara branca";acariquara branca;apocynaceae;geissospermum;geissospermum argenteum;geissospermum laeve
"guarea carinata/trunciflora;meliaceae;guarea;gito";gito;meliaceae;guarea;guarea carinata/trunciflora;garcinia uniflora
"guarea carinata/trunciflora;meliaceae;guarea;gito vermelho";gito vermelho;meliaceae;guarea;guarea carinata/trunciflora;garcinia uniflora
"guarea convergens;meliaceae;guarea;gito vermelho";gito vermelho;meliaceae;guarea;guarea convergens;
"guarea spp;meliaceae;guarea;gito vermelho";gito vermelho;meliaceae;guarea;guarea spp;
"guarea velutina;meliaceae;guarea;gito vermelho";gito vermelho;meliaceae;guarea;guarea velutina;gluta velutina
"guatteria cf australis;annonaceae;guatteria;envira fofa";envira fofa;annonaceae;guatteria;guatteria cf australis;pouteria australis
"guatteria citriodora;annonaceae;guatteria;seringarana";seringarana;annonaceae;guatteria;guatteria citriodora;guatteria cestrifolia
"guatteria spp;annonaceae;guatteria;envira fofa";envira fofa;annonaceae;guatteria;guatteria spp;guatteria micans
"handroanthus spp;bignoniaceae;handroanthus;pau darco";pau darco;bignoniaceae;handroanthus;handroanthus spp;
"heisteria laxiflora;olacaceae;heisteria;uxirana";uxirana;olacaceae;heisteria;heisteria laxiflora;heisteria cauliflora
"hirtella rodriguesii;chrysobalanaceae;hirtella;caraiperana";caraiperana;chrysobalanaceae;hirtella;hirtella rodriguesii;hirtella davisii
"humiriaceae spp;humiriaceae;humiriaceae;macucu murici";macucu murici;humiriaceae;humiriaceae;humiriaceae spp;
"humiriaceae spp;humiriaceae;humiriaceae;uxirana";uxirana;humiriaceae;humiriaceae;humiriaceae spp;
"humiriastrum cf excelsum;humiriaceae;humiriastrum;araca bravo";araca bravo;humiriaceae;humiriastrum;humiriastrum cf excelsum;humiriastrum excelsum
"humiriastrum cf excelsum;humiriaceae;humiriastrum;macucu murici";macucu murici;humiriaceae;humiriastrum;humiriastrum cf excelsum;humiriastrum excelsum
"hymenolobium sericeum;fabaceae;hymenolobium;sucupira amarela";sucupira amarela;fabaceae;hymenolobium;hymenolobium sericeum;hymenolobium excelsum
"indeterminado;indeterminado;#valor!;castanha porco";castanha porco;indeterminado;#valor!;indeterminado;
"indeterminado;indeterminado;#valor!;gogo guariba";gogo guariba;indeterminado;#valor!;indeterminado;
"indeterminado;indeterminado;#valor!;jutai pororoca";jutai pororoca;indeterminado;#valor!;indeterminado;
"indeterminado;indeterminado;#valor!;orelha burro";orelha burro;indeterminado;#valor!;indeterminado;
"indeterminado;indeterminado;#valor!;orelha mutum";orelha mutum;indeterminado;#valor!;indeterminado;
"indeterminado;indeterminado;#valor!;uxi cotia";uxi cotia;indeterminado;#valor!;indeterminado;
"inga cf leiocalycina;fabaceae;inga;inga vermelha";inga vermelha;fabaceae;inga;inga cf leiocalycina;inga leiocalycina
"inga grandiflora;fabaceae;inga;inga branca";inga branca;fabaceae;inga;inga grandiflora;inga graciliflora
"inga grandiflora;fabaceae;inga;inga peluda";inga peluda;fabaceae;inga;inga grandiflora;inga graciliflora
"inga grandiflora;fabaceae;inga;inga vermelha";inga vermelha;fabaceae;inga;inga grandiflora;inga graciliflora
"inga spp;fabaceae;inga;inga branca";inga branca;fabaceae;inga;inga spp;
"inga spp;fabaceae;inga;inga bravo";inga bravo;fabaceae;inga;inga spp;
"inga spp;fabaceae;inga;inga peluda";inga peluda;fabaceae;inga;inga spp;
"inga spp;fabaceae;inga;inga peluda fg";inga peluda fg;fabaceae;inga;inga spp;
"inga spp;fabaceae;inga;inga preta";inga preta;fabaceae;inga;inga spp;
"inga spp;fabaceae;inga;inga vermelha";inga vermelha;fabaceae;inga;inga spp;
"inga umbratica;fabaceae;inga;inga vermelha";inga vermelha;fabaceae;inga;inga umbratica;inga aria
"iryanthera spp;myristicaceae;iryanthera;ucuuba puna";ucuuba puna;myristicaceae;iryanthera;iryanthera spp;iryanthera laevis
"kutchubaea insignis;rubiaceae;kutchubaea;cafe bravo";cafe bravo;rubiaceae;kutchubaea;kutchubaea insignis;ruagea insignis
"kutchubaea insignis;rubiaceae;kutchubaea;taboquinha";taboquinha;rubiaceae;kutchubaea;kutchubaea insignis;ruagea insignis
"lacistema aggregatum/polystachyum;lacistemataceae;lacistema;inga vermelho";inga vermelho;lacistemataceae;lacistema;lacistema aggregatum/polystachyum;lacistema aggregatum
"lacistema aggregatum/polystachyum;lacistemataceae;lacistema;macucu chiador";macucu chiador;lacistemataceae;lacistema;lacistema aggregatum/polystachyum;lacistema aggregatum
"lacistema aggregatum/polystachyum;lacistemataceae;lacistema;pimenta nambu";pimenta nambu;lacistemataceae;lacistema;lacistema aggregatum/polystachyum;lacistema aggregatum
"lacistema spp;lacistemataceae;lacistema;pimenta nambu";pimenta nambu;lacistemataceae;lacistema;lacistema spp;
"lacunaria jenmanii;quiinaceae;lacunaria;papo mutum";papo mutum;quiinaceae;lacunaria;lacunaria jenmanii;lacunaria crenata
"lauraceae spp;lauraceae;lauraceae;louro aritu";louro aritu;lauraceae;lauraceae;lauraceae spp;
"lauraceae spp;lauraceae;lauraceae;louro bosta";louro bosta;lauraceae;lauraceae;lauraceae spp;
"lauraceae spp;lauraceae;lauraceae;louro branco";louro branco;lauraceae;lauraceae;lauraceae spp;
"lauraceae spp;lauraceae;lauraceae;louro fofo";louro fofo;lauraceae;lauraceae;lauraceae spp;
"lauraceae spp;lauraceae;lauraceae;louro preto";louro preto;lauraceae;lauraceae;lauraceae spp;
"lecythidaceae sp;lecythidaceae;lecythidaceae;tauari branco";tauari branco;lecythidaceae;lecythidaceae;lecythidaceae sp;
"lecythidaceae spp;lecythidaceae;lecythidaceae;tauari";tauari;lecythidaceae;lecythidaceae;lecythidaceae spp;
"lecythis cf chartacea;lecythidaceae;lecythis;castanha jarana fm";castanha jarana fm;lecythidaceae;lecythis;lecythis cf chartacea;lecythis chartacea
"lecythis cf gracieana;lecythidaceae;lecythis;castanha jarana";castanha jarana;lecythidaceae;lecythis;lecythis cf gracieana;lecythis gracieana
"lecythis spp;lecythidaceae;lecythis;breu vermelho";breu vermelho;lecythidaceae;lecythis;lecythis spp;lecythis ampla
"lecythis spp;lecythidaceae;lecythis;castanha jarana";castanha jarana;lecythidaceae;lecythis;lecythis spp;lecythis ampla
"lecythis spp;lecythidaceae;lecythis;castanha jarana fm";castanha jarana fm;lecythidaceae;lecythis;lecythis spp;lecythis ampla
"lecythis spp;lecythidaceae;lecythis;castanha sapucaia";castanha sapucaia;lecythidaceae;lecythis;lecythis spp;lecythis ampla
"licania bracteata;chrysobalanaceae;licania;uxi cotia";uxi cotia;chrysobalanaceae;licania;licania bracteata;licania elata
"licania caudata;chrysobalanaceae;licania;macucu chiador";macucu chiador;chrysobalanaceae;licania;licania caudata;licania elata
"licania laevigata;chrysobalanaceae;licania;macucu chiador";macucu chiador;chrysobalanaceae;licania;licania laevigata;toulicia laevigata
"licania laevigata;chrysobalanaceae;licania;macucu fofo";macucu fofo;chrysobalanaceae;licania;licania laevigata;toulicia laevigata
"licania latifolia;chrysobalanaceae;licania;macucu chiador";macucu chiador;chrysobalanaceae;licania;licania latifolia;aldina latifolia
"licania prismatocarpa;chrysobalanaceae;licania;macucu chiador";macucu chiador;chrysobalanaceae;licania;licania prismatocarpa;burdachia prismatocarpa
"licania sp 1;chrysobalanaceae;licania;macucu chiador";macucu chiador;chrysobalanaceae;licania;licania sp 1;
"licania spp;chrysobalanaceae;licania;araca bravo";araca bravo;chrysobalanaceae;licania;licania spp;
"licania spp;chrysobalanaceae;licania;caraipe";caraipe;chrysobalanaceae;licania;licania spp;
"licania spp;chrysobalanaceae;licania;macucu";macucu;chrysobalanaceae;licania;licania spp;
"licania spp;chrysobalanaceae;licania;macucu chiador";macucu chiador;chrysobalanaceae;licania;licania spp;
"licania sprucei;chrysobalanaceae;licania;caraipe";caraipe;chrysobalanaceae;licania;licania sprucei;licania fuchsii
"licaria crassifolia;lauraceae;licaria;louro ferro";louro ferro;lauraceae;licaria;licaria crassifolia;litsea crassifolia
"licaria crassifolia;lauraceae;licaria;louro pirarucu";louro pirarucu;lauraceae;licaria;licaria crassifolia;litsea crassifolia
"licaria martiniana;lauraceae;licaria;falso aritu";falso aritu;lauraceae;licaria;licaria martiniana;licaria armeniaca
"licaria martiniana;lauraceae;licaria;louro aritu";louro aritu;lauraceae;licaria;licaria martiniana;licaria armeniaca
"licaria martiniana;lauraceae;licaria;louro fofo";louro fofo;lauraceae;licaria;licaria martiniana;licaria armeniaca
"licaria martiniana;lauraceae;licaria;urucurana";urucurana;lauraceae;licaria;licaria martiniana;licaria armeniaca
"mabea angularis;euphorbiaceae;mabea;taquari";taquari;euphorbiaceae;mabea;mabea angularis;
"mabea angularis;euphorbiaceae;mabea;taquari vermelho";taquari vermelho;euphorbiaceae;mabea;mabea angularis;
"mabea spp;euphorbiaceae;mabea;taquari";taquari;euphorbiaceae;mabea;mabea spp;
"manilkara spp;sapotaceae;manilkara;macaranduba";macaranduba;sapotaceae;manilkara;manilkara spp;manilkara zapota
"marlierea spruceana;myrtaceae;marlierea;araca bravo";araca bravo;myrtaceae;marlierea;marlierea spruceana;hevea spruceana
"matayba macrostylis;sapindaceae;matayba;gito branco";gito branco;sapindaceae;matayba;matayba macrostylis;
"meliaceae spp;meliaceae;meliaceae;gito";gito;meliaceae;meliaceae;meliaceae spp;
"miconia dicrophylla;melastomataceae;miconia;buchuchu canela velho";buchuchu canela velho;melastomataceae;miconia;miconia dicrophylla;miconia chrysophylla
"miconia dicrophylla;melastomataceae;miconia;buchuchu folha serrilhada";buchuchu folha serrilhada;melastomataceae;miconia;miconia dicrophylla;miconia chrysophylla
"miconia dicrophylla;melastomataceae;miconia;buchuchu vermelho";buchuchu vermelho;melastomataceae;miconia;miconia dicrophylla;miconia chrysophylla
"miconia dicrophylla;melastomataceae;miconia;buxuxu canela velha";buxuxu canela velha;melastomataceae;miconia;miconia dicrophylla;miconia chrysophylla
"miconia dicrophylla;melastomataceae;miconia;buxuxu canela velho";buxuxu canela velho;melastomataceae;miconia;miconia dicrophylla;miconia chrysophylla
"miconia dicrophylla;melastomataceae;miconia;tinteira";tinteira;melastomataceae;miconia;miconia dicrophylla;miconia chrysophylla
"miconia gratissima;melastomataceae;miconia;amarelinho";amarelinho;melastomataceae;miconia;miconia gratissima;miconia prasina
"miconia gratissima;melastomataceae;miconia;buchuchu";buchuchu;melastomataceae;miconia;miconia gratissima;miconia prasina
"miconia gratissima;melastomataceae;miconia;buchuchu canela velho";buchuchu canela velho;melastomataceae;miconia;miconia gratissima;miconia prasina
"miconia gratissima;melastomataceae;miconia;buchuchu folha serrilhada";buchuchu folha serrilhada;melastomataceae;miconia;miconia gratissima;miconia prasina
"miconia gratissima;melastomataceae;miconia;buxuxu";buxuxu;melastomataceae;miconia;miconia gratissima;miconia prasina
"miconia gratissima;melastomataceae;miconia;falsa cupiuba";falsa cupiuba;melastomataceae;miconia;miconia gratissima;miconia prasina
"miconia gratissima;melastomataceae;miconia;uxi morcego";uxi morcego;melastomataceae;miconia;miconia gratissima;miconia prasina
"miconia hypoleuca;melastomataceae;miconia;buchuchu canela velho";buchuchu canela velho;melastomataceae;miconia;miconia hypoleuca;licania hypoleuca
"miconia hypoleuca;melastomataceae;miconia;buxuxu f. serrilhadas";buxuxu f. serrilhadas;melastomataceae;miconia;miconia hypoleuca;licania hypoleuca
"miconia hypoleuca;melastomataceae;miconia;buxuxu folhas serrilhada";buxuxu folhas serrilhada;melastomataceae;miconia;miconia hypoleuca;licania hypoleuca
"miconia longispicata;melastomataceae;miconia;buchuchu canela velho";buchuchu canela velho;melastomataceae;miconia;miconia longispicata;miconia longifolia
"miconia longispicata;melastomataceae;miconia;buchuchu folha serrilhada";buchuchu folha serrilhada;melastomataceae;miconia;miconia longispicata;miconia longifolia
"miconia minutiflora;melastomataceae;miconia;angelim pedra";angelim pedra;melastomataceae;miconia;miconia minutiflora;licania minutiflora
"miconia minutiflora;melastomataceae;miconia;buxuxu folha serreada";buxuxu folha serreada;melastomataceae;miconia;miconia minutiflora;licania minutiflora
"miconia minutiflora;melastomataceae;miconia;dima";dima;melastomataceae;miconia;miconia minutiflora;licania minutiflora
"miconia minutiflora;melastomataceae;miconia;matamata amarelo";matamata amarelo;melastomataceae;miconia;miconia minutiflora;licania minutiflora
"miconia minutiflora;melastomataceae;miconia;tinteira";tinteira;melastomataceae;miconia;miconia minutiflora;licania minutiflora
