_id;common_name;family;genus;species;suggestion
"aiouea cf lehmannii;lauraceae;aiouea;louro preto";louro preto;lauraceae;aiouea;aiouea cf lehmannii;otoba lehmannii
"aiouea grandifolia;lauraceae;aiouea;louro branco";louro branco;lauraceae;aiouea;aiouea grandifolia;ixora grandifolia
"alchorneopsis floribunda;euphorbiaceae;alchorneopsis;castanha porco";castanha porco;euphorbiaceae;alchorneopsis;alchorneopsis floribunda;unonopsis floribunda
"alchorneopsis floribunda;euphorbiaceae;alchorneopsis;supiarana";supiarana;euphorbiaceae;alchorneopsis;alchorneopsis floribunda;unonopsis floribunda
"alibertia sp;rubiaceae;alibertia;araca bravo";araca bravo;rubiaceae;alibertia;alibertia sp;alibertia edulis
"amaioua corymbosa;rubiaceae;amaioua;muiraximbe";muiraximbe;rubiaceae;amaioua;amaioua corymbosa;laetia corymbulosa
"andira spp;fabaceae;andira;sucupira chorona";sucupira chorona;fabaceae;andira;andira spp;
"andira trifoliolata;fabaceae;andira;buchuchu folha serrilhada";buchuchu folha serrilhada;fabaceae;andira;andira trifoliolata;andira unifoliolata
"andira trifoliolata;fabaceae;andira;sucupira preta";sucupira preta;fabaceae;andira;andira trifoliolata;andira unifoliolata
"annona neoinsignis;annonaceae;annona;envira bobo";envira bobo;annonaceae;annona;annona neoinsignis;aldina insignis
"annonaceae spp;annonaceae;annonaceae;envira amargosa";envira amargosa;annonaceae;annonaceae;annonaceae spp;
"annonaceae spp;annonaceae;annonaceae;envira preta";envira preta;annonaceae;annonaceae;annonaceae spp;
"annonaceae spp;annonaceae;annonaceae;envira vermelha";envira vermelha;annonaceae;annonaceae;annonaceae spp;
"aspidosperma carapanauba;apocynaceae;aspidosperma;carapanauba";carapanauba;apocynaceae;aspidosperma;aspidosperma carapanauba;aspidosperma araracanga
"aspidosperma spp;apocynaceae;aspidosperma;piquia marfim";piquia marfim;apocynaceae;aspidosperma;aspidosperma spp;aspidosperma cuspa
"bellucia spp;melastomataceae;bellucia;buchuchu";buchuchu;melastomataceae;bellucia;bellucia spp;
"buchenavia guianesis;combretaceae;buchenavia;tanimbuca";tanimbuca;combretaceae;buchenavia;buchenavia guianesis;buchenavia grandis
"buchenavia sp 2;combretaceae;buchenavia;tanimbuca";tanimbuca;combretaceae;buchenavia;buchenavia sp 2;
"buchenavia spp;combretaceae;buchenavia;tanimbuca";tanimbuca;combretaceae;buchenavia;buchenavia spp;buchenavia grandis
"burseraceae spp;burseraceae;burseraceae;breu manga";breu manga;burseraceae;burseraceae;burseraceae spp;
"byrsonima duckeana;malpighiaceae;byrsonima;ata brava";ata brava;malpighiaceae;byrsonima;byrsonima duckeana;byrsonima densa
"byrsonima duckeana;malpighiaceae;byrsonima;inga vermelha";inga vermelha;malpighiaceae;byrsonima;byrsonima duckeana;byrsonima densa
"byrsonima duckeana;malpighiaceae;byrsonima;murici";murici;malpighiaceae;byrsonima;byrsonima duckeana;byrsonima densa
"byrsonima duckeana;malpighiaceae;byrsonima;murici mata";murici mata;malpighiaceae;byrsonima;byrsonima duckeana;byrsonima densa
"calyptranthes macrophylla;myrtaceae;calyptranthes;araca bravo";araca bravo;myrtaceae;calyptranthes;calyptranthes macrophylla;alstonia macrophylla
"chrysobalanaceae spp;chrysobalanaceae;chrysobalanaceae;caraiperana";caraiperana;chrysobalanaceae;chrysobalanaceae;chrysobalanaceae spp;
"chrysobalanaceae spp;chrysobalanaceae;chrysobalanaceae;macucu";macucu;chrysobalanaceae;chrysobalanaceae;chrysobalanaceae spp;
"chrysobalanaceae spp;chrysobalanaceae;chrysobalanaceae;macucu fofo";macucu fofo;chrysobalanaceae;chrysobalanaceae;chrysobalanaceae spp;
"chrysobalanaceae spp;chrysobalanaceae;chrysobalanaceae;pajura mata";pajura mata;chrysobalanaceae;chrysobalanaceae;chrysobalanaceae spp;
"chrysobalanaceae spp;chrysobalanaceae;chrysobalanaceae;pajurazinho";pajurazinho;chrysobalanaceae;chrysobalanaceae;chrysobalanaceae spp;
"chrysophyllum manaosense;sapotaceae;chrysophyllum;abiurana cutite fp";abiurana cutite fp;sapotaceae;chrysophyllum;chrysophyllum manaosense;chrysophyllum argenteum
"chrysophyllum spp;sapotaceae;chrysophyllum;ucuquirana verdadeira";ucuquirana verdadeira;sapotaceae;chrysophyllum;chrysophyllum spp;chrysophyllum indet
