_id;common_name;family;genus;species;suggestion
"abarema cochleata;fabaceae;abarema;inga cauliflora";inga cauliflora;fabaceae;abarema;abarema cochleata;
"abarema mataybifolia;fabaceae;abarema;fava amarela";fava amarela;fabaceae;abarema;abarema mataybifolia;premna latifolia
"abarema piresii;fabaceae;abarema;falso angelim";falso angelim;fabaceae;abarema;abarema piresii;mabea piriri
"aiouea cf grandifolia;lauraceae;aiouea;breu";breu;lauraceae;aiouea;aiouea cf grandifolia;ixora grandifolia
"aiouea cf grandifolia;lauraceae;aiouea;louro branco";louro branco;lauraceae;aiouea;aiouea cf grandifolia;ixora grandifolia
"aiouea cf lehmannii;lauraceae;aiouea;louro preto";louro preto;lauraceae;aiouea;aiouea cf lehmannii;otoba lehmannii
"aiouea myristicoides;lauraceae;aiouea;uxirana";uxirana;lauraceae;aiouea;aiouea myristicoides;
"alchorneopsis floribunda;euphorbiaceae;alchorneopsis;supia";supia;euphorbiaceae;alchorneopsis;alchorneopsis floribunda;unonopsis floribunda
"amaioua aff guianensis;rubiaceae;amaioua;muiraximbe";muiraximbe;rubiaceae;amaioua;amaioua aff guianensis;amaioua guianensis
"amaioua corymbosa;rubiaceae;amaioua;muiraximbe";muiraximbe;rubiaceae;amaioua;amaioua corymbosa;laetia corymbulosa
"amaioua corymbosa;rubiaceae;amaioua;purui peludo";purui peludo;rubiaceae;amaioua;amaioua corymbosa;laetia corymbulosa
"andira trifoliolata;fabaceae;andira;sucupira chorona";sucupira chorona;fabaceae;andira;andira trifoliolata;andira unifoliolata
"aniba panurensis sensu lato;lauraceae;aniba;louro aritu";louro aritu;lauraceae;aniba;aniba panurensis sensu lato;aniba panurensis
"aniba panurensis sensu lato;lauraceae;aniba;louro falso aritu";louro falso aritu;lauraceae;aniba;aniba panurensis sensu lato;aniba panurensis
"aniba panurensis sensu lato;lauraceae;aniba;louro fofo";louro fofo;lauraceae;aniba;aniba panurensis sensu lato;aniba panurensis
"aniba panurensis sensu lato;lauraceae;aniba;louro rosa";louro rosa;lauraceae;aniba;aniba panurensis sensu lato;aniba panurensis
"annona amazonica;annonaceae;annona;envira fofa";envira fofa;annonaceae;annona;annona amazonica;aniba amazonica
"annona neoinsignis;annonaceae;annona;envira bobo";envira bobo;annonaceae;annona;annona neoinsignis;aldina insignis
"annona neoinsignis;annonaceae;annona;envira pente macaco";envira pente macaco;annonaceae;annona;annona neoinsignis;aldina insignis
"annonaceae sp;annonaceae;annonaceae;louro preto";louro preto;annonaceae;annonaceae;annonaceae sp;
"annonaceae spp;annonaceae;annonaceae;envira amargosa";envira amargosa;annonaceae;annonaceae;annonaceae spp;
"annonaceae spp;annonaceae;annonaceae;envira preta";envira preta;annonaceae;annonaceae;annonaceae spp;
"aspidosperma carapanauba;apocynaceae;aspidosperma;carapanauba";carapanauba;apocynaceae;aspidosperma;aspidosperma carapanauba;aspidosperma araracanga
"buchenavia sericocarpa;combretaceae;buchenavia;tanimbuca";tanimbuca;combretaceae;buchenavia;buchenavia sericocarpa;buchenavia oxycarpa
"buchenavia sp 1;combretaceae;buchenavia;tanimbuca";tanimbuca;combretaceae;buchenavia;buchenavia sp 1;
"buchenavia spp;combretaceae;buchenavia;tanimbuca";tanimbuca;combretaceae;buchenavia;buchenavia spp;buchenavia grandis
"buchenavia tomentosa;combretaceae;buchenavia;tanimbuca";tanimbuca;combretaceae;buchenavia;buchenavia tomentosa;acacia tomentosa
"burseraceae spp;burseraceae;burseraceae;breu manga";breu manga;burseraceae;burseraceae;burseraceae spp;
"byrsonima cf stipulacea;malpighiaceae;byrsonima;murici";murici;malpighiaceae;byrsonima;byrsonima cf stipulacea;byrsonima stipulacea
"byrsonima poeppigiana;malpighiaceae;byrsonima;taboquinha";taboquinha;malpighiaceae;byrsonima;byrsonima poeppigiana;byrsonima densa
"byrsonima poeppigiana;malpighiaceae;byrsonima;ucuuba vermelha";ucuuba vermelha;malpighiaceae;byrsonima;byrsonima poeppigiana;byrsonima densa
"byrsonima rodriguesii;malpighiaceae;byrsonima;sapateiro";sapateiro;malpighiaceae;byrsonima;byrsonima rodriguesii;byrsonima densa
"calyptranthes cuspidata;myrtaceae;calyptranthes;murta mata";murta mata;myrtaceae;calyptranthes;calyptranthes cuspidata;aphananthe cuspidata
"calyptranthes sp;myrtaceae;calyptranthes;araca bravo";araca bravo;myrtaceae;calyptranthes;calyptranthes sp;calyptranthes speciosa
"casearia spp;salicaceae;casearia;piabinha";piabinha;salicaceae;casearia;casearia spp;
"cassipourea peruviana;rhizophoraceae;cassipourea;muirajiboia preta";muirajiboia preta;rhizophoraceae;cassipourea;cassipourea peruviana;alseis peruviana
"catostemma milanezii;malvaceae;catostemma;castanha paca";castanha paca;malvaceae;catostemma;catostemma milanezii;catostemma indet
"chrysobalanaceae spp;chrysobalanaceae;chrysobalanaceae;macucu fofo";macucu fofo;chrysobalanaceae;chrysobalanaceae;chrysobalanaceae spp;
"chrysophyllum cf gonocarpum;sapotaceae;chrysophyllum;abiurana fedorenta";abiurana fedorenta;sapotaceae;chrysophyllum;chrysophyllum cf gonocarpum;chrysophyllum gonocarpum
"chrysophyllum manaosense;sapotaceae;chrysophyllum;abiurana fedorenta";abiurana fedorenta;sapotaceae;chrysophyllum;chrysophyllum manaosense;chrysophyllum argenteum
"chrysophyllum ucuquirana branca;sapotaceae;chrysophyllum;ucuquirana brava";ucuquirana brava;sapotaceae;chrysophyllum;chrysophyllum ucuquirana branca;chrysophyllum ucuquirana-branca
"clusiaceae spp;clusiaceae;clusiaceae;bacuri";bacuri;clusiaceae;clusiaceae;clusiaceae spp;
"connarus perrottetii;connaraceae;connarus;rabo arara";rabo arara;connaraceae;connarus;connarus perrottetii;
"connarus perrottetii;connaraceae;connarus;tachi vermelho";tachi vermelho;connaraceae;connarus;connarus perrottetii;
"cordia cf trachyphylla;boraginaceae;cordia;freijo";freijo;boraginaceae;cordia;cordia cf trachyphylla;cordia fallax
"cordia spp;boraginaceae;cordia;freijo branco";freijo branco;boraginaceae;cordia;cordia spp;
"cordiera myrciifolia;rubiaceae;cordiera;puruizinho";puruizinho;rubiaceae;cordiera;cordiera myrciifolia;cordia scabrifolia
"couepia canomensis;chrysobalanaceae;couepia;uxi cotia";uxi cotia;chrysobalanaceae;couepia;couepia canomensis;couepia guianensis
"couepia chrysocalyx;chrysobalanaceae;couepia;macucu fofo";macucu fofo;chrysobalanaceae;couepia;couepia chrysocalyx;pouteria pachycalyx
"couepia chrysocalyx;chrysobalanaceae;couepia;pajurazinho";pajurazinho;chrysobalanaceae;couepia;couepia chrysocalyx;pouteria pachycalyx
