_id;common_name;family;genus;species;suggestion
"abarema cochleata;fabaceae;abarema;inga cauliflora";inga cauliflora;fabaceae;abarema;abarema cochleata;
"abarema mataybifolia;fabaceae;abarema;inga peluda";inga peluda;fabaceae;abarema;abarema mataybifolia;premna latifolia
"abarema mataybifolia;fabaceae;abarema;muirajiboia preta";muirajiboia preta;fabaceae;abarema;abarema mataybifolia;premna latifolia
"aiouea cf grandifolia;lauraceae;aiouea;louro branco";louro branco;lauraceae;aiouea;aiouea cf grandifolia;ixora grandifolia
"aiouea cf lehmannii;lauraceae;aiouea;louro preto";louro preto;lauraceae;aiouea;aiouea cf lehmannii;otoba lehmannii
"albizia duckeana;fabaceae;albizia;fava parkia";fava parkia;fabaceae;albizia;albizia duckeana;albizia acle
"alchornea discolor;euphorbiaceae;alchornea;castanha porco";castanha porco;euphorbiaceae;alchornea;alchornea discolor;lannea discolor
"amaioua corymbosa;rubiaceae;amaioua;muiraximbe";muiraximbe;rubiaceae;amaioua;amaioua corymbosa;laetia corymbulosa
"ambelania duckei;apocynaceae;ambelania;pepino mata";pepino mata;apocynaceae;ambelania;ambelania duckei;ambelania acida
"andira spp;fabaceae;andira;sucupira chorona";sucupira chorona;fabaceae;andira;andira spp;
"andira trifoliolata;fabaceae;andira;sucupira chorona";sucupira chorona;fabaceae;andira;andira trifoliolata;andira unifoliolata
"aniba panurensis sensu lato;lauraceae;aniba;louro amarelo";louro amarelo;lauraceae;aniba;aniba panurensis sensu lato;aniba panurensis
"aniba panurensis sensu lato;lauraceae;aniba;louro aritu";louro aritu;lauraceae;aniba;aniba panurensis sensu lato;aniba panurensis
"aniba panurensis sensu lato;lauraceae;aniba;louro falso aritu";louro falso aritu;lauraceae;aniba;aniba panurensis sensu lato;aniba panurensis
"aniba panurensis sensu lato;lauraceae;aniba;louro fofo";louro fofo;lauraceae;aniba;aniba panurensis sensu lato;aniba panurensis
"aniba panurensis sensu lato;lauraceae;aniba;louro rosa";louro rosa;lauraceae;aniba;aniba panurensis sensu lato;aniba panurensis
"annona ambotay;annonaceae;annona;envira taia";envira taia;annonaceae;annona;annona ambotay;annona glabra
"annona neoinsignis;annonaceae;annona;envira bobo";envira bobo;annonaceae;annona;annona neoinsignis;aldina insignis
"annona neoinsignis;annonaceae;annona;envira fofa";envira fofa;annonaceae;annona;annona neoinsignis;aldina insignis
"annona neoinsignis;annonaceae;annona;envira pente macaco";envira pente macaco;annonaceae;annona;annona neoinsignis;aldina insignis
"annonaceae spp;annonaceae;annonaceae;ata brava";ata brava;annonaceae;annonaceae;annonaceae spp;
"annonaceae spp;annonaceae;annonaceae;envira amargosa";envira amargosa;annonaceae;annonaceae;annonaceae spp;
"annonaceae spp;annonaceae;annonaceae;envira pacovi";envira pacovi;annonaceae;annonaceae;annonaceae spp;
"annonaceae spp;annonaceae;annonaceae;envira preta";envira preta;annonaceae;annonaceae;annonaceae spp;
"annonaceae spp;annonaceae;annonaceae;envira taia";envira taia;annonaceae;annonaceae;annonaceae spp;
"annonaceae spp;annonaceae;annonaceae;envira taripupu";envira taripupu;annonaceae;annonaceae;annonaceae spp;
"apeiba echinata;malvaceae;apeiba;envira pente macaco";envira pente macaco;malvaceae;apeiba;apeiba echinata;apeiba indet
"aspidosperma carapanauba;apocynaceae;aspidosperma;carapanauba";carapanauba;apocynaceae;aspidosperma;aspidosperma carapanauba;aspidosperma araracanga
"aspidosperma spp;apocynaceae;aspidosperma;piquia marfim";piquia marfim;apocynaceae;aspidosperma;aspidosperma spp;aspidosperma cuspa
