_id;common_name;family;genus;species;suggestion
"abarema cf microcalyx;fabaceae;abarema;faveira amarela";faveira amarela;fabaceae;abarema;abarema cf microcalyx;aporusa microcalyx
"aiouea grandifolia;lauraceae;aiouea;louro branco";louro branco;lauraceae;aiouea;aiouea grandifolia;ixora grandifolia
"alchornea sp;euphorbiaceae;alchornea;ucuuba branca";ucuuba branca;euphorbiaceae;alchornea;alchornea sp;alchornea grandis
"amaioua aff guianensis;rubiaceae;amaioua;muiraximbe";muiraximbe;rubiaceae;amaioua;amaioua aff guianensis;amaioua guianensis
"amaioua corymbosa;rubiaceae;amaioua;muiraximbe";muiraximbe;rubiaceae;amaioua;amaioua corymbosa;laetia corymbulosa
"andira spp;fabaceae;andira;sucupira chorona";sucupira chorona;fabaceae;andira;andira spp;
"andira trifoliolata;fabaceae;andira;sucupira chorona";sucupira chorona;fabaceae;andira;andira trifoliolata;andira unifoliolata
"aniba panurensis sensu lato;lauraceae;aniba;louro amarelo";louro amarelo;lauraceae;aniba;aniba panurensis sensu lato;aniba panurensis
"aniba panurensis sensu lato;lauraceae;aniba;louro aritu";louro aritu;lauraceae;aniba;aniba panurensis sensu lato;aniba panurensis
"aniba panurensis sensu lato;lauraceae;aniba;louro falso aritu";louro falso aritu;lauraceae;aniba;aniba panurensis sensu lato;aniba panurensis
"aniba panurensis sensu lato;lauraceae;aniba;louro rosa";louro rosa;lauraceae;aniba;aniba panurensis sensu lato;aniba panurensis
"aniba panurensis sensu lato;lauraceae;aniba;tachi vermelho";tachi vermelho;lauraceae;aniba;aniba panurensis sensu lato;aniba panurensis
"annona ambotay;annonaceae;annona;envira taia";envira taia;annonaceae;annona;annona ambotay;annona glabra
"annona neoinsignis;annonaceae;annona;envira bobo";envira bobo;annonaceae;annona;annona neoinsignis;aldina insignis
"annonaceae spp;annonaceae;annonaceae;ata brava";ata brava;annonaceae;annonaceae;annonaceae spp;
"annonaceae spp;annonaceae;annonaceae;envira amargosa";envira amargosa;annonaceae;annonaceae;annonaceae spp;
"annonaceae spp;annonaceae;annonaceae;envira preta";envira preta;annonaceae;annonaceae;annonaceae spp;
"annonaceae spp;annonaceae;annonaceae;envira taripucu";envira taripucu;annonaceae;annonaceae;annonaceae spp;
"annonaceae spp;annonaceae;annonaceae;envira taripupu";envira taripupu;annonaceae;annonaceae;annonaceae spp;
"apeiba echinata;malvaceae;apeiba;envira pente macaco";envira pente macaco;malvaceae;apeiba;apeiba echinata;apeiba indet
"aspidosperma carapanauba;apocynaceae;aspidosperma;carapanauba";carapanauba;apocynaceae;aspidosperma;aspidosperma carapanauba;aspidosperma araracanga
