_id;common_name;family;genus;species
1;faveira amarela;fabaceae;abarema;abarema cf microcalyx
3;ucuuba branca;euphorbiaceae;alchornea;alchornea sp
4;muiraximbe;rubiaceae;amaioua;amaioua aff guianensis
6;sucupira chorona;fabaceae;andira;andira spp
8;louro amarelo;lauraceae;aniba;aniba panurensis sensu lato
9;louro aritu;lauraceae;aniba;aniba panurensis sensu lato
10;louro falso aritu;lauraceae;aniba;aniba panurensis sensu lato
11;louro rosa;lauraceae;aniba;aniba panurensis sensu lato
12;tachi vermelho;lauraceae;aniba;aniba panurensis sensu lato
15;ata brava;annonaceae;annonaceae;annonaceae spp
16;envira amargosa;annonaceae;annonaceae;annonaceae spp
17;envira preta;annonaceae;annonaceae;annonaceae spp
18;envira taripucu;annonaceae;annonaceae;annonaceae spp
19;envira taripupu;annonaceae;annonaceae;annonaceae spp
22;ucuuba preta;anacardiaceae;astronium;astronium cf ulei
23;muiracatiara;anacardiaceae;astronium;astronium spp
24;tanimbuca;combretaceae;buchenavia;buchenavia aff grandis
25;tanimbuca;combretaceae;buchenavia;buchenavia spp
26;breu manga;burseraceae;burseraceae;burseraceae spp
37;murici bravo;malpighiaceae;byrsonima;byrsonima sp 1
38;tapura;malpighiaceae;byrsonima;byrsonima sp 2
39;murici bravo;malpighiaceae;byrsonima;byrsonima spp
41;araca bravo;myrtaceae;calyptranthes;calyptranthes sp
43;embauba branca;urticaceae;cecropia;cecropia spp
44;caraiperana;chrysobalanaceae;chrysobalanaceae;chrysobalanaceae spp
45;macucu fofo;chrysobalanaceae;chrysobalanaceae;chrysobalanaceae spp
46;pajurazinho;chrysobalanaceae;chrysobalanaceae;chrysobalanaceae spp
47;ucuquirana brava;sapotaceae;chrysophyllum;chrysophyllum sp 1
48;ucuquirana brava;sapotaceae;chrysophyllum;chrysophyllum spp
51;envira fofa;boraginaceae;cordia;cordia cf trachyphylla
52;freijo branco;boraginaceae;cordia;cordia cf trachyphylla
54;freijo branco;boraginaceae;cordia;cordia spp
56;macucu chiador;chrysobalanaceae;couepia;couepia cf spicata
60;cumaru;fabaceae;dipteryx;dipteryx spp
62;envira amarela;annonaceae;duguetia;duguetia spp
72;faveira;fabaceae;elizabetha;elizabetha sp
76;muirapiranga;fabaceae;eperua;eperua spp
91;ripeiro branco;lecythidaceae;eschweilera;eschweilera romeu cardosoi
92;ripeiro preto;lecythidaceae;eschweilera;eschweilera romeu cardosoi
93;ripeiro vermelho;lecythidaceae;eschweilera;eschweilera romeu cardosoi
94;matamata amarelo;lecythidaceae;eschweilera;eschweilera spp
95;matamata preto;lecythidaceae;eschweilera;eschweilera spp
96;ripeiro;lecythidaceae;eschweilera;eschweilera spp
97;ripeiro branco;lecythidaceae;eschweilera;eschweilera spp
98;ripeiro preto;lecythidaceae;eschweilera;eschweilera spp
99;ripeiro vermelho;lecythidaceae;eschweilera;eschweilera spp
100;tauari branco;lecythidaceae;eschweilera;eschweilera spp
103;araca bravo;myrtaceae;eugenia;eugenia cf illepida
106;seringarana;euphorbiaceae;euphorbiaceae;euphorbiaceae spp
107;faveira amarela;fabaceae;fabaceae;fabaceae spp
108;faveira arapari;fabaceae;fabaceae;fabaceae spp
109;faveira rape;fabaceae;fabaceae;fabaceae spp
110;ingarana;fabaceae;fabaceae;fabaceae spp
111;jiboinha;fabaceae;fabaceae;fabaceae spp
112;sucupira amarela;fabaceae;fabaecae;fabaecae spp
116;buchuchu f serrilhada;meliaceae;guarea;guarea carinata/trunciflora
117;gito vermelho;meliaceae;guarea;guarea carinata/trunciflora
121;envira fofa;annonaceae;guatteria;guatteria spp
122;muiratinga;moraceae;helicostylis;helicostylis spp
125;macucu murici;humiriaceae;humiriaceae;humiriaceae spp
126;uxirana;humiriaceae;humiriaceae;humiriaceae spp
127;breu vermelho;humiriaceae;humiriastrum;humiriastrum cf excelsum
128;buchuchu orelha burr;indeterminado;#valor!;indeterminado
129;cardeiro;indeterminado;#valor!;indeterminado
130;castanha porco;indeterminado;#valor!;indeterminado
131;gitorana;indeterminado;#valor!;indeterminado
132;gogo guariba;indeterminado;#valor!;indeterminado
133;itaubarana;indeterminado;#valor!;indeterminado
134;muirapuama;indeterminado;#valor!;indeterminado
